PF frames_wo_det=0 has_meas=1 | x=-0.137334 y=0.439387 z=0.777536 yaw=-1.065973 h=0.000180 r1=0.201655 r2=0.201742 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.158642 y=0.447394 z=0.807751 yaw=-1.046755 h=0.000180 r1=0.201651 r2=0.201742 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=-0.179945 y=0.455388 z=0.838046 yaw=-1.027221 h=0.000178 r1=0.201659 r2=0.201745 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=-0.201257 y=0.463370 z=0.868321 yaw=-1.007680 h=0.000178 r1=0.201667 r2=0.201742 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=-0.222579 y=0.471306 z=0.898621 yaw=-0.988297 h=0.000178 r1=0.201661 r2=0.201741 | class_id=-1 pf_state=0
MEAS frames_wo_det=4 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.257110 y=0.481820 z=0.937276 yaw=-1.040159 h=0.000126 r1=0.201573 r2=0.201737 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.277530 y=0.505914 z=0.968845 yaw=-1.066992 h=0.000121 r1=0.201508 r2=0.201665 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.300006 y=0.516793 z=0.999533 yaw=-1.053666 h=0.000121 r1=0.201509 r2=0.201659 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=-0.322482 y=0.527705 z=1.030225 yaw=-1.039915 h=0.000127 r1=0.201508 r2=0.201663 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=-0.344944 y=0.538596 z=1.060992 yaw=-1.026491 h=0.000122 r1=0.201505 r2=0.201664 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=-0.367403 y=0.549543 z=1.091711 yaw=-1.013046 h=0.000119 r1=0.201504 r2=0.201663 | class_id=-1 pf_state=0
PF frames_wo_det=5 has_meas=0 | x=-0.389838 y=0.560476 z=1.122458 yaw=-0.999351 h=0.000125 r1=0.201506 r2=0.201668 | class_id=-1 pf_state=0
PF frames_wo_det=6 has_meas=0 | x=-0.412290 y=0.571395 z=1.153180 yaw=-0.986018 h=0.000124 r1=0.201505 r2=0.201663 | class_id=-1 pf_state=0
PF frames_wo_det=7 has_meas=0 | x=-0.434736 y=0.582319 z=1.183877 yaw=-0.972324 h=0.000118 r1=0.201514 r2=0.201667 | class_id=-1 pf_state=0
PF frames_wo_det=8 has_meas=0 | x=-0.457153 y=0.593284 z=1.214604 yaw=-0.958915 h=0.000123 r1=0.201509 r2=0.201668 | class_id=-1 pf_state=0
PF frames_wo_det=9 has_meas=0 | x=-0.479574 y=0.604144 z=1.245288 yaw=-0.945613 h=0.000122 r1=0.201511 r2=0.201673 | class_id=-1 pf_state=0
PF frames_wo_det=10 has_meas=0 | x=-0.502035 y=0.615069 z=1.276023 yaw=-0.932398 h=0.000117 r1=0.201513 r2=0.201663 | class_id=-1 pf_state=0
PF frames_wo_det=11 has_meas=0 | x=-0.524445 y=0.625967 z=1.306735 yaw=-0.919171 h=0.000122 r1=0.201508 r2=0.201666 | class_id=-1 pf_state=0
PF frames_wo_det=12 has_meas=0 | x=-0.546897 y=0.636897 z=1.337433 yaw=-0.905824 h=0.000122 r1=0.201510 r2=0.201665 | class_id=-1 pf_state=0
PF frames_wo_det=13 has_meas=0 | x=-0.569328 y=0.647735 z=1.368127 yaw=-0.892875 h=0.000122 r1=0.201512 r2=0.201663 | class_id=-1 pf_state=0
PF frames_wo_det=14 has_meas=0 | x=-0.591786 y=0.658652 z=1.398805 yaw=-0.879352 h=0.000119 r1=0.201511 r2=0.201671 | class_id=-1 pf_state=0
PF frames_wo_det=15 has_meas=0 | x=-0.614234 y=0.669517 z=1.429525 yaw=-0.865927 h=0.000118 r1=0.201507 r2=0.201661 | class_id=-1 pf_state=0
PF frames_wo_det=16 has_meas=0 | x=-0.636682 y=0.680400 z=1.460260 yaw=-0.852495 h=0.000122 r1=0.201505 r2=0.201665 | class_id=-1 pf_state=0
MEAS frames_wo_det=16 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.407675 y=0.773909 z=1.349309 yaw=-1.029334 h=0.000116 r1=0.201445 r2=0.201595 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.406235 y=0.793301 z=1.367979 yaw=-1.029805 h=0.000116 r1=0.201449 r2=0.201594 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=-0.404916 y=0.812727 z=1.386670 yaw=-1.030312 h=0.000118 r1=0.201443 r2=0.201600 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=-0.403544 y=0.832179 z=1.405345 yaw=-1.030888 h=0.000116 r1=0.201450 r2=0.201601 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=-0.402168 y=0.851597 z=1.424012 yaw=-1.031664 h=0.000117 r1=0.201441 r2=0.201592 | class_id=-1 pf_state=0
PF frames_wo_det=5 has_meas=0 | x=-0.400768 y=0.871027 z=1.442659 yaw=-1.032301 h=0.000115 r1=0.201445 r2=0.201601 | class_id=-1 pf_state=0
PF frames_wo_det=6 has_meas=0 | x=-0.399365 y=0.890426 z=1.461298 yaw=-1.033081 h=0.000114 r1=0.201443 r2=0.201593 | class_id=-1 pf_state=0
PF frames_wo_det=7 has_meas=0 | x=-0.398007 y=0.909858 z=1.479894 yaw=-1.033571 h=0.000116 r1=0.201449 r2=0.201593 | class_id=-1 pf_state=0
MEAS frames_wo_det=7 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.389962 y=0.928830 z=1.452455 yaw=-1.100425 h=0.000111 r1=0.201386 r2=0.201530 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.387683 y=0.949836 z=1.463978 yaw=-1.104296 h=0.000106 r1=0.201383 r2=0.201531 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.396585 y=0.947130 z=1.461471 yaw=-1.112917 h=0.000107 r1=0.201331 r2=0.201470 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.395879 y=0.965537 z=1.470388 yaw=-1.114895 h=0.000110 r1=0.201328 r2=0.201468 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=-0.395164 y=0.983970 z=1.479306 yaw=-1.116783 h=0.000111 r1=0.201331 r2=0.201467 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=-0.394459 y=1.002362 z=1.488209 yaw=-1.119390 h=0.000110 r1=0.201335 r2=0.201471 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=-0.393783 y=1.020780 z=1.497066 yaw=-1.121444 h=0.000106 r1=0.201328 r2=0.201467 | class_id=-1 pf_state=0
PF frames_wo_det=5 has_meas=0 | x=-0.393079 y=1.039168 z=1.505983 yaw=-1.123914 h=0.000109 r1=0.201336 r2=0.201468 | class_id=-1 pf_state=0
PF frames_wo_det=6 has_meas=0 | x=-0.392378 y=1.057551 z=1.514831 yaw=-1.126072 h=0.000103 r1=0.201332 r2=0.201477 | class_id=-1 pf_state=0
PF frames_wo_det=7 has_meas=0 | x=-0.391702 y=1.076001 z=1.523738 yaw=-1.128502 h=0.000103 r1=0.201326 r2=0.201472 | class_id=-1 pf_state=0
PF frames_wo_det=8 has_meas=0 | x=-0.391101 y=1.094469 z=1.532633 yaw=-1.130673 h=0.000104 r1=0.201333 r2=0.201473 | class_id=-1 pf_state=0
PF frames_wo_det=9 has_meas=0 | x=-0.390422 y=1.112898 z=1.541530 yaw=-1.132432 h=0.000107 r1=0.201332 r2=0.201469 | class_id=-1 pf_state=0
PF frames_wo_det=10 has_meas=0 | x=-0.389728 y=1.131317 z=1.550443 yaw=-1.134356 h=0.000106 r1=0.201331 r2=0.201466 | class_id=-1 pf_state=0
PF frames_wo_det=11 has_meas=0 | x=-0.389034 y=1.149727 z=1.559394 yaw=-1.136177 h=0.000109 r1=0.201332 r2=0.201471 | class_id=-1 pf_state=0
PF frames_wo_det=12 has_meas=0 | x=-0.388317 y=1.168172 z=1.568250 yaw=-1.137713 h=0.000110 r1=0.201328 r2=0.201468 | class_id=-1 pf_state=0
PF frames_wo_det=13 has_meas=0 | x=-0.387696 y=1.186567 z=1.577166 yaw=-1.140079 h=0.000102 r1=0.201329 r2=0.201466 | class_id=-1 pf_state=0
PF frames_wo_det=14 has_meas=0 | x=-0.387069 y=1.204987 z=1.586059 yaw=-1.142003 h=0.000110 r1=0.201329 r2=0.201474 | class_id=-1 pf_state=0
PF frames_wo_det=15 has_meas=0 | x=-0.386373 y=1.223382 z=1.594921 yaw=-1.144347 h=0.000106 r1=0.201335 r2=0.201474 | class_id=-1 pf_state=0
PF frames_wo_det=16 has_meas=0 | x=-0.385643 y=1.241785 z=1.603842 yaw=-1.146158 h=0.000106 r1=0.201338 r2=0.201474 | class_id=-1 pf_state=0
PF frames_wo_det=17 has_meas=0 | x=-0.384950 y=1.260210 z=1.612741 yaw=-1.148311 h=0.000108 r1=0.201329 r2=0.201470 | class_id=-1 pf_state=0
PF frames_wo_det=18 has_meas=0 | x=-0.384294 y=1.278613 z=1.621604 yaw=-1.150456 h=0.000108 r1=0.201331 r2=0.201467 | class_id=-1 pf_state=0
PF frames_wo_det=19 has_meas=0 | x=-0.383588 y=1.296994 z=1.630482 yaw=-1.152682 h=0.000109 r1=0.201333 r2=0.201470 | class_id=-1 pf_state=0
PF frames_wo_det=20 has_meas=0 | x=-0.382847 y=1.315412 z=1.639342 yaw=-1.154931 h=0.000105 r1=0.201333 r2=0.201468 | class_id=-1 pf_state=0
PF frames_wo_det=21 has_meas=0 | x=-0.382103 y=1.333764 z=1.648251 yaw=-1.157147 h=0.000105 r1=0.201328 r2=0.201471 | class_id=-1 pf_state=0
PF frames_wo_det=22 has_meas=0 | x=-0.381471 y=1.352255 z=1.657176 yaw=-1.159388 h=0.000106 r1=0.201331 r2=0.201473 | class_id=-1 pf_state=0
PF frames_wo_det=23 has_meas=0 | x=-0.380826 y=1.370694 z=1.666079 yaw=-1.161277 h=0.000108 r1=0.201329 r2=0.201478 | class_id=-1 pf_state=0
PF frames_wo_det=24 has_meas=0 | x=-0.380190 y=1.389123 z=1.674995 yaw=-1.163725 h=0.000108 r1=0.201331 r2=0.201473 | class_id=-1 pf_state=0
PF frames_wo_det=25 has_meas=0 | x=-0.379517 y=1.407491 z=1.683917 yaw=-1.166261 h=0.000109 r1=0.201332 r2=0.201471 | class_id=-1 pf_state=0
MEAS frames_wo_det=25 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.371075 y=1.333686 z=1.602923 yaw=-1.120382 h=0.000102 r1=0.201277 r2=0.201411 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.369685 y=1.344131 z=1.603702 yaw=-1.118881 h=0.000101 r1=0.201269 r2=0.201412 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=-0.298419 y=0.824864 z=1.008300 yaw=-1.164478 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=-0.363995 y=1.338166 z=1.597575 yaw=-1.160886 h=0.000098 r1=0.201228 r2=0.201356 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=-0.364095 y=1.344018 z=1.595252 yaw=-1.161693 h=0.000102 r1=0.201233 r2=0.201354 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=-0.364227 y=1.349925 z=1.592935 yaw=-1.161831 h=0.000100 r1=0.201225 r2=0.201356 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=-0.364302 y=1.355760 z=1.590645 yaw=-1.162406 h=0.000099 r1=0.201227 r2=0.201359 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=-0.364410 y=1.361635 z=1.588348 yaw=-1.162571 h=0.000104 r1=0.201225 r2=0.201357 | class_id=-1 pf_state=0
